,Car Brand,Model,Price,Model Year,Location,Fuel,Driven (Kms),Gear,Ownership,EMI (monthly)
2878,Maruti,Alto 800LXI,628799,2014,Kolkata,Petrol,9847,Manual,2,11142
2879,Maruti,Alto K10VXI,435399,2015,Kolkata,Petrol,34645,Manual,1,9977
2880,Maruti,Alto 800LXI,386299,2014,Kolkata,Petrol,13668,Manual,2,10364
2881,Maruti,Wagon R 1.0VXI,309399,2016,Kolkata,Petrol,23896,Manual,1,9563
2882,Maruti,Wagon R 1.0VXI,815499,2016,Kolkata,Petrol,137199,Manual,1,5081
2883,Maruti,AltoLXI,629299,2020,Kolkata,Petrol,20561,Manual,1,8882
2884,Maruti,AltoVXI,658199,2020,Kolkata,Petrol,29750,Manual,1,6086
2885,Hyundai,Grand i10SPORTS 1.2 VTVT,1872799,2015,Kolkata,Petrol,35834,Manual,1,7085
2886,Maruti,AltoVXI,910799,2020,Kolkata,Petrol,37944,Manual,1,7047
2887,Hyundai,Grand i10MAGNA 1.2 VTVT,429699,2017,Kolkata,Petrol,26028,Manual,1,14121
2888,Maruti,Eeco5 STR WITH AC PLUSHTR,656199,2019,Kolkata,Petrol,32472,Manual,1,9412
2889,Maruti,Alto K10VXI,504399,2015,Kolkata,Petrol,33309,Manual,1,7198
2890,Maruti,AltoVXI,728699,2020,Kolkata,Petrol,53124,Manual,1,6914
2891,Maruti,Alto 800VXI,361099,2017,Kolkata,Petrol,13700,Manual,1,10126
2892,Maruti,Alto 800VXI,756299,2015,Kolkata,Petrol,51024,Manual,1,5221
2893,Maruti,Alto 800LXI,906599,2015,Kolkata,Petrol,21938,Manual,1,9703
2894,Maruti,Alto 800LXI,742199,2015,Kolkata,Petrol,58110,Manual,1,7519
2895,Maruti,Alto 800LXI,515999,2015,Kolkata,Petrol,53252,Manual,1,7241
2896,Maruti,Alto 800VXI,812899,2015,Kolkata,Petrol,26359,Manual,1,7358
2897,Maruti,Alto 800LXI,456699,2016,Kolkata,Petrol,32370,Manual,1,7423
2898,Maruti,Alto 800LXI,910799,2019,Kolkata,Petrol,34696,Manual,1,6500
2899,Hyundai,Grand i10SPORTS 1.2 VTVT,430599,2017,Kolkata,Petrol,49194,Manual,1,6148
2900,Maruti,Alto 800LXI,481999,2017,Kolkata,Petrol,14797,Manual,1,6284
2901,Maruti,Alto 800VXI,730799,2016,Kolkata,Petrol,29950,Manual,1,5107
2902,Maruti,Alto 800LXI,555999,2016,Kolkata,Petrol,64101,Manual,1,7470
2903,Maruti,Alto 800VXI,635799,2016,Kolkata,Petrol,24316,Manual,1,5143
2904,Maruti,Alto K10VXI (O) AMT,804399,2017,Kolkata,Petrol,34200,Automatic,1,8250
2905,Maruti,Alto 800LXI,420899,2019,Kolkata,Petrol,9864,Manual,1,9994
2906,Maruti,Alto 800VXI,1373699,2017,Kolkata,Petrol,27137,Manual,1,5350
2907,Mahindra,ScorpioS10,680299,2015,Kolkata,Petrol,30398,Manual,1,7076
2908,Maruti,Alto 800VXI,877899,2019,Kolkata,Petrol,5197,Manual,1,8424
2909,Nissan,SunnyXV PETROL,382399,2012,Kolkata,Petrol,14963,Manual,1,8226
2910,Volkswagen,VentoHIGHLINE PETROL AT,967599,2011,Kolkata,Petrol,11526,Automatic,1,7674
2911,Honda,CityV MT PETROL,980399,2015,Kolkata,Petrol,11462,Manual,1,7107
2912,Nissan,TerranoXL PLUS 85 PS DEISEL,422399,2014,Kolkata,Petrol,5387,Manual,1,5637
2913,Ford,New Figo1.2 TITANIUM,517799,2017,Kolkata,Petrol,13498,Manual,1,6070
